name; price; weight; description
Schleifband Standard blau - Korn 120;ab 24.90;;Allround - das Schleifband fuer den ES 2000. Fuer alle Gelegenheiten.
ES 2000 - elektrisches Skikantenschleifgeraet;358.00;3 kg je Stueck;Eigenhaendiges Ski- und Snowboard Schleifen wie die Profis. Spare Zeit und Geld mit dem Skikantenschleifgeraet ES 2000 von raze-cat.
CF-4 - Feilenwinkel;129.00;0,49 kg je Stueck;Die Weltneuheit der verstellbaren Feilenwinkel zum Skikanten Feilen aus dem Hause raze-cat.
Finnfeile fein;15.00;0,1 kg je Stueck;Finnfeile hartverchromt "fein" zum Schaerfen und Feilen der Ski- und Snowboardkanten! Snoli - Made in Austria!
ES 2000 - Profiset;448.00;5 kg je Stueck;Skikanten schleifen mit dem elektrischen Skikantenschleifgeraet ES 2000 im Profiset von raze-cat.
Schleifband Standard rot - Korn 240;ab 24.90;;Medium - das Schleifband fuer den ES 2000. Fuer alle die etwas mehr wollen.
CF-4 - Profiset;148.00;0,72 kg je Set;CF-4 - die Weltneuheit der verstellbaren Feilenwinkel zum Skikantenfeilen - jetzt im Profiset!
Finnfeile fein Cutofino;16.00;0,1 kg je Stueck;Finnfeile hartverchromt "fein - cutofino" zum Schaerfen und Feilen der Ski- und Snowboardkanten! Snoli - Made in Austria!
ES 2000 / ES 1000 - Reparaturservice;90.00;;Reparaturservice fuer die Skikantenschleifgeraete ES 2000 und ES 1000. Generalueberholung deiner Skikantenschleifmaschine.
Schleifband Keramik gruen - Korn 120;ab 29.50;;Power - das Schleifband fuer den ES 2000. Speziell fuer harte Skikanten.
CF-4 Pure - Profiset Worldcup;168.00;0,72 kg je Set;CF-4 pure - die Weltneuheit der verstellbaren Feilenwinkel zum Skikanten Feilen jetzt im Profiset! Limitierte Auflage!
Finnfeile mittel;15.00;0,1 kg je Stueck;Finnfeile hartverchromt "mittel" zum Schaerfen und Feilen der Ski- und Snowboardkanten! Snoli - Made in Austria!
Ersatzteil: Antriebsrolle ES 1000 & ES 2000;12.00;0,05 kg je Stueck;Antriebsrolle als Ersatzteil fuer den elektrischen Skikantenschleifer ES 1000 & ES 2000 von raze-cat.
Schleifband professional grau - Korn 600;ab 20.50;;Synthetik Finish 600 - fuer das feine Tuning. Das Schleifband der Profis.
Feilenwinkel FG100 pro;59.00;0,3 kg je Stueck;Der Feilenwinkel FG100 pro - ein moderner Feilenwinkel fuer den professionellen Skiservice zum Selbermachen. In vier verschiedenen Winkelgroessen erhaeltlich.
Finnfeile grob;15.00;0,1 kg je Stueck;Finnfeile hartverchromt "grob" zum Schaerfen und Feilen der Ski- und Snowboardkanten! Snoli - Made in Austria!
Schleifband professional grau - Korn 1000;ab 22.50;;Synthetik polish 1000 - fuer das Polieren. Das Schleifband der Profis.
FG100 Profiset;78.00;0,38 kg je Set;Der FG100 im Profiset. Der sicherste und stabilste Feilenwinkel fuer den Skiservice zum Selbermachen jetzt im Set. In vier verschiedenen Winkelgroessen erhaeltlich.
Skifeile Worldcup fein;19.00;0,105 kg je Stueck;Die meistverwendete Ski Feile zum Skikanten schleifen im Weltcup! Icecut - Made in Switzerland!
Ersatzteil: Anlageblech ES 2000;15.00;0,02 kg je Stueck;Anlageblech als original Ersatzteil fuer den elektrischen Ski-Kantenschleifer ES 2000 von raze-cat.
Schrauben fuer Feilenwinkel;4.50;0,02 kg je Paar;Schrauben zur Befestigung der Feilen beim FG100. Koennen auch fuer den CF-4 verwendet werden.
Schleifband Symetrie Perfect - Track 400;ab 8.90;;Track 400 - Schleifband fuer den ES 2000. Symetrische Schleifquader - fuer eine laengere Haltbarkeit.
Skifeile Worldcup mittel;19.00;0,105 kg je Stueck;Die meistverwendete Feile zum Skikanten schleifen im Weltcup! Icecut - Made in Switzerland!
Ersatzteil: Fuehrungsrolle ES 1000;12.00;0,05 kg je Stueck;Fuehrungsrolle als original Ersatzteil fuer den elektrischen Skikantenschleifer ES 1000 von raze-cat.
Schleifbaender Probeset;17.90;;Probierset - fuer den ES 2000. Teste alle erhaeltlichen Schleifbaender.
Diamantfeile DMT schwarz Korn 220;39.00;0,06 kg je Stueck;Diamantfeile von DMT schwarz in Korn 220 grob - Made in USA
Ersatzteil: Fuehrungsrolle ES 2000;12.00;0,05 kg je Stueck;Fuehrungsrolle als original Ersatzteil fuer den elektrischen Skikantenschleifer ES 2000 von raze-cat.
Diamantfeile DMT blau Korn 325;39.00;0,06 kg je Stueck;Diamantfeile von DMT blue in Korn 325 - mittel - Made in USA
Diamantfeile DMT rot Korn 600;39.00;0,06 kg je Stueck;Diamantfeile von DMT rot in Korn 600 - fein - Made in USA
Diamantfeile DMT gruen Korn 1200;39.00;0,06 kg je Stueck;Diamantfeile von DMT gruen in Korn 1200 - extra fein - Made in USA
Skiwachs Buegeleisen;49.00;1 kg je Stueck;Buegeleisen mit Struktursohle fuer Ski- und Snowboard. Das einfachste und beste Skiwachsbuegeleisen mit Struktursohle!
Skiwachs racing universal gelb;9.00;0,07 kg je Pack;Skiwachs Racing Universal gelb aus dem Hause raze-cat, geeignet fuer fast alle Temperaturen und Schneeverhaeltnisse!
Spezial Wachsklinge 5mm;5.00;0,06 kg je Stueck;Professionelle Wachs-Abziehklinge 5mm stark, aus hochwertiger Plexi-Platte gefraest.
Skiwachs-Set;65.00;1,25 kg je Set;Wachsbuegeleisen im Set fuer Ski- und Snowboard. Das Sorglospaket fuer den professionellen Skiservice!
Skiwachs racing plus rot;9.00;0,07 kg je Pack;Skiwachs Racing plus rot aus dem Hause raze-cat, geeignet fuer waermere Temperaturen und Schneeverhaeltnisse!
Wachs - EX;12.00;0,3 kg je Stueck;Spezielles Reinigungsmittel zum Entfernen von Altwachs und Verschmutzungen. Fuer eine schonende Reinigung der Ski- und Snowboardbelaege.
Skiwachs racing minus gruen;9.00;0,07 kg je Pack;Skiwachs Racing minus gruen aus dem Hause raze-cat, geeignet fuer kaeltere Temperaturen und Schneeverhaeltnisse!
Skiwachs racing fluor;12.50;0,07 kg je Pack;Skiwachs Racing Universal fluor blau aus dem Hause raze-cat, geeignet fuer fast alle Temperaturen und Schneeverhaeltnisse - mit Fluoranteil!
Creme Wachs FC 200 Universal;15.00;;Creme Wachs zum einfachen Auftragen. Fuer fast alle Temperaturen und Schneeverhaeltnisse geeignet.
Quick Fluid Universal Wachs - Fluessig;12.00;0,12 kg je Stueck;Quick Fluid Universal Wachs von raze-cat mit praktischem Schwammkopf zum einfachen Auftragen. Fuer alle Schneetemperaturen und Schneearten geeignet.
Stratos FC 200 Universal - Fluessig;15.00;0,12 kg je Stueck;Fluid Wachs mit Fluor Carbon Anteil von raze-cat fuer verbesserte  Gleiteigenschaften und Drehfreudigkeit der Ski und Snowboards. Fuer Schneetemperaturen von -5°C bis +10°C.
Belagbuerste Speed - Bronze;17.90;0,3 kg je Stueck;Bronze Belagbuerste. Spezialbuerste zum Ausbuersten des Skibelages. Borstenlaenge 13mm. Zubehoer fuer den Skiservice zum Selbermachen.
Roto-Buerste Bronze 120 mm;89.00;0,5 kg je Stueck;Roto-Buerste Bronze in 120 mm Laenge fuer die Ski-Belagspflege zum professionellen Skiservice. Zum Ausbuersten und Reinigen des Ski- und Snowboardbelages
Roto-Buerste Bronze 140 mm;95.00;0,6 kg je Stueck;Roto-Buerste Bronze in 140 mm Laenge fuer die Ski-Belagspflege zum professionellen Skiservice. Zum Ausbuersten und Reinigen des Ski- und Snowboardbelages
Belagbuerste Speed - Rosshaar;13.90;0,3 kg je Stueck;Rosshaar Belagbuerste. Spezialbuerste zum Ausbuersten des Skibelages. Borstenlaenge 13mm. Zubehoer fuer den Skiservice zum Selbermachen.
Roto-Buerste Rosshaar 120 mm;45.00;0,3 kg je Stueck;Roto-Buerste Rosshaar in 120 mm Laenge fuer die Ski-Belagspflege zum professionellen Skiservice. Perfekt zum Ausbuersten von Heisswachs.
Roto-Buerste Rosshaar 140 mm;49.00;0,4 kg je Stueck;Roto-Buerste Rosshaar in 140 mm Laenge fuer die Ski-Belagspflege zum professionellen Skiservice. Perfekt zum Ausbuersten von Heisswachs.
Belagbuerste Speed - Nylon;12.90;0,3 kg je Stueck;Nylon Belagbuerste. Spezialbuerste zum Ausbuersten des Skibelages. Borstenlaenge 13mm. Zubehoer fuer den Skiservice zum Selbermachen.
Roto-Buerste Nylon120 mm;45.00;0,3 kg je Stueck;Roto-Buerste Nylon in 120 mm Laenge fuer die Ski-Belagspflege zum professionellen Skiservice. Perfekt zum Ausbuersten von Heisswachs.
Roto-Buerste Nylon140 mm;49.00;;Roto-Buerste Nylon in 140 mm Laenge fuer die Ski-Belagspflege zum professionellen Skiservice. Perfekt zum Ausbuersten von Heisswachs.
Belagbuerste Speed - Combi;15.90;0,3 kg je Stueck;Combi Belagbuerste. Spezialbuerste zum Ausbuersten des Skibelages. Borstenlaenge 13mm. Zubehoer fuer den Skiservice zum Selbermachen.
Roto-Buersten-Set 120mm;158.00;1,3 kg je Set;Roto-Buersten-Set in 120 mm Laenge fuer die Ski-Belagspflege zum professionellen Skiservice. Zum Ausbuersten und Reinigen des Skibelages sowie zum Ausbuersten von Heisswachs.
Roto-Buersten-Set 140mm;168.00;1,4 kg je Set;Roto-Buersten-Set in 140 mm Laenge fuer die Ski-Belagspflege zum professionellen Skiservice. Zum Ausbuersten und Reinigen des Skibelages sowie zum Ausbuersten von Heisswachs.
Belagbuersten Set - Speed;35.00;0,9 kg je Set;Belagbuersten 3er Set. Spezialbuersten zum Ausbuersten des Skibelages. Borstenlaenge 13mm. Zubehoer fuer den Skiservice zum Selbermachen.
RB120-Achse 120 mm;58.00;0,4 kg je Stueck;Die neu entwickelte Roto-Buerste RB120 von raze-cat fuer die professionelle Skibelagspflege.
RB140-Achse 140 mm;60.00;0,4 kg je Stueck;Die neu entwickelte Roto-Buerste RB140 von raze-cat fuer die professionelle Skibelagspflege.
RB120-Abdeckung 120 mm;24.00;0,2 kg je Stueck;Die Schutz-Abdeckung fuer die  Roto-Buerste RB120 von raze-cat fuer die professionelle Skibelagspflege.
RB140-Abdeckung 140 mm;26.00;0,2 kg je Stueck;Die Schutz-Abdeckung fuer die  Roto-Buerste RB140 von raze-cat fuer die professionelle Skibelagspflege.
RB120-Set - Starter;128.00;1 kg je Set;RB120 - die neu entwickelte Roto-Ski-Buerste von raze-cat fuer die professionelle Skibelagspflege jetzt im Set - Starter.
RB140-Set - Starter;138.00;1,4 kg je Set;RB140 - die neu entwickelte Roto-Ski-Buerste von raze-cat fuer die professionelle Skibelagspflege jetzt im Set - Starter.
RB120-Set - Advanced;208.00;1,7 kg je Set;RB120 - die neu entwickelte Roto-Ski-Buerste von raze-cat fuer die professionelle Ski-Belagspflege jetzt im Set - Advanced.
RB140-Set - Advanced;218.00;1,8 kg je Set;RB140 - die neu entwickelte Roto-Ski-Buerste von raze-cat fuer die professionelle Ski-Belagspflege jetzt im Set - Advanced.
RB120-Profiset - Racing;228.00;1,9 kg je Set;RB120 - die neu entwickelte Roto-Ski-Buerste von raze-cat fuer die professionelle Skibelagspflege, jetzt im Profiset!
RB140-Profiset - Racing;238.00;2 kg je Set;RB140 - die neu entwickelte Roto-Ski-Buerste von raze-cat fuer die professionelle Skibelagspflege, jetzt im Profiset!
RB120-Profiset - Worldcup;288.00;4,8 kg je Set;RB120 - die neu entwickelte Roto-Ski-Buerste von raze-cat fuer die professionelle Skibelagspflege jetzt im Profiset mit Akku-Bohrschrauber!
RB140-Profiset - Worldcup;298.00;5 kg je Set;RB140 - die neu entwickelte Roto-Ski-Buerste von raze-cat fuer die professionelle Skibelagspflege jetzt im Profiset mit Akku-Bohrschrauber!
Skispanner Profi Quick raze-cat;95.00;1,85 kg je Set;Skispanner Profi Quick raze-cat. Skikanten schleifen mit einem der Besten Skispanner auf dem Markt! Haelt den Ski in 3 verschiedenen Positionen fest.
Belag Reparatur Material;5.00;0,06 kg je Pack;Spezial Poly-Streifen zum Ausbessern beschaedigter Ski- oder Snowboardbelaege.
Winkellehre;19.00;0,02 kg je Stueck;Die am einfachsten handzuhabende Lehre fuer das Messen der Winkel Deiner Ski und Snowboardseitenkante.
Snowboardspanner STAR FIX raze-cat;79.00;2 kg je Set;Snowboardspanner STAR FIX. Kanten schleifen mit einem der besten Snowboardspannern auf dem Markt!
Belagabzieher Base mit Haarlineal;25.00;0,21 kg je Stueck;Hochwertige HSS Stahlklinge mit Halter zum Planziehen und Pruefen der Laufflaeche Deiner Ski!
Seitenwangenabzieher - Racing;49.00;0,2 kg je Stueck;Seitenwangenhobel mit ergonomischen Griff zum muehelosen Arbeiten.
Skibremse Stopperhalter U-Buegel;4.80;0,04 kg je Paar;Stopperhalter U-Buegel zum Rueckhalten der Skibremsen von Alpinski beim Wachsen oder Kantenschleifen.
Belaghobel mit Karosseriefeile 150 mm;32.50;0,21 kg je Stueck;Werkzeug zum Nacharbeiten bzw. Abtragen von Belagreparaturstellen nach dem Aufschmelzen und zum Planen des Belages.
Stoppergummi;4.80;0,04 kg je Paar;Der wirklich einzige Stoppergummi mit Griff und Haken zum Fixieren der Stopper Deiner Ski-Bindung.
Edge Trick mit feiner Feile;18.00;0,09 kg je Stueck;Verstellbares, handliches Schleifgeraet mit feiner Feile fuer die Seitenkanten Deiner Ski.
Edge Trick mit Alu-Oxidstein;15.00;0,09 kg je Stueck;Verstellbares, handliches Schleifgeraet mit Aluminium-Oxydstein fuer die Seitenkanten Deiner Ski.
Reparaturpistole fuer Ski- und Snowboard-Belaege;75.00;0,8 kg je Set;Speziell entwickelte Belag Reparaturpistole zum Einschmelzen des Reparaturmaterials in den Skibelag. Fuer eine schnelle und wirksame Reparatur von Ski- und Snowboardbelaegen.
Edge Trick mit Diamantfeile;19.00;0,09 kg je Stueck;Verstellbares, handliches Schleifgeraet mit Diamantfeile fuer die Seitenkanten Deiner Ski.
Profi Reparaturpistole fuer Ski- und Snowboardbelaege;325.00;1,8 kg je Set;Speziell entwickelte Belag Reparaturpistole mit flachem Kopf zur besseren Verteilung des Reparaturmaterials in den Skibelag. Fuer eine schnelle und wirksame Reparatur von Ski- und Snowboardbelaegen.
Alu-Oxyd Abziehstein;9.50;0,06 kg je Stueck;Professioneller Alu-Oxyd Abziehstein um Verhaertungen der Ski- und Snowboardkanten zu entfernen.
Reparatursticks schwarz;8.00;0,2 kg je Pack;Reparatursticks fuer provisorische Reparaturen des Belags von Skiern oder Snowboards. Mit oder ohne Reparatur Pistole verwendbar.
Reparatursticks transparent;8.00;0,2 kg je Pack;Reparatursticks fuer provisorische Reparaturen des Belags von Skiern oder Snowboards. Mit oder ohne Reparatur Pistole verwendbar.
Siliziom Carbit Abziehstein;11.50;0,06 kg je Stueck;Professioneller Silizium Carbit Abziehstein - gruen. Zum Schleifen der Ski- und Snowboardkante um Verhaertungen zu entfernen.
Keramik Abziehstein;13.50;0,06 kg je Stueck;Professioneller Keramik Abziehstein - weiss. Zum Schleifen der Ski- und Snowboardkante nach dem Feilen.
Winkelfuehrung fuer belagseitige Kante;38.00;0,15 kg je Stueck;Winkelfuehrung zur Bearbeitung der belagseitigen Kanten. Winkelbereich von 0° bis 3°, in 0.5° Stufen.
Kanten Schleifgummi;8.50;0,06 kg je Stueck;Professioneller Kanten Schleifgummi zum Reinigen, Entgraten und Brechen der Ski- und Snowboardkante.
Mini - Diamantschleifstein;15.00;;Ein kompakter Mini-Schleifstein mit Diamantschleifflaeche fuer schnelles und spontanes Nachschaerfen der Kanten.
Energy Bar - Muesli Riegel Hanf;ab 10.00;;Muesli Riegel aus natuerlichen Zutaten mit innovativer, wetterbestaendiger Verpackung. Geschmacksrichtung Hanf. Riegel haelt Temperaturen von -40°C bis +50°C ohne Verformung oder Veraenderung des Geschmacks aus. Ab 5 Stueck pro Packung.
Energy Bar - Muesli Riegel Schokolade;ab 10.00;;Muesli Riegel aus natuerlichen Zutaten mit innovativer, wetterbestaendiger Verpackung. Geschmacksrichtung Hanf. Riegel haelt Temperaturen von -40°C bis +50°C ohne Verformung oder Veraenderung des Geschmacks aus. Ab 5 Stueck pro Packung.
Energy Bar - Muesli Riegel Nuss;ab 10.00;;Muesli Riegel aus natuerlichen Zutaten mit innovativer, wetterbestaendiger Verpackung. Geschmacksrichtung Nuss. Riegel haelt Temperaturen von -40°C bis +50°C ohne Verformung oder Veraenderung des Geschmacks aus. Ab 5 Stueck pro Packung.
Gutschein;ab 50.00;;Gutscheine von raze-cat.
FLSK Trinkflasche;ab 34.00;;Die FLSK Trinkflasche ist eine stylische Thermoflasche, die es ermoeglicht Getraenke mehr als 24 Stunden kalt und 18 Stunden heiss zu halten.
Skischuhtrockner dryer 1.0;25.00;0,6 kg je Paar;Trocknet Skischuhe und Handschuhe energieeffizient und das in kurzer Zeit.
Skischuhtrockner dryer 2.0;40.00;1,1 kg je Stueck;Trocknet Skischuhe, Snowboardschuhe und Handschuhe energieeffizient und das in sehr kurzer Zeit.
Netzadapter Schweiz Stecker;9.80;0,13 kg je Stueck;Um den ES 2000 von raze-cat mit Schutzkontakt Stecker CEE 7/4 in der Schweiz anschliessen zu koennen.
Skisocken Kompression;35.00;0,16 kg je Paar;Skisocken von Lenz mit Kompression und Merinowolle.
